id,label
1,1
2,1
3,1
4,0
5,1
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,0
15,0
16,0
17,1
18,1
19,1
20,0
21,1
22,0
23,0
24,1
25,1
26,1
27,1
28,0
29,1
30,1
31,1
32,1
33,1
34,1
35,0
36,1
37,0
38,0
39,1
40,0
41,1
42,1
43,1
44,1
45,0
46,1
47,0
48,1
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,1
58,0
59,1
60,0
61,0
62,1
63,0
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,1
72,1
73,1
74,0
75,0
76,1
77,1
78,1
79,1
80,0
81,1
82,0
83,1
84,1
85,1
86,0
87,1
88,1
89,0
90,0
91,1
92,0
93,0
94,1
95,1
96,1
97,1
98,1
99,0
100,0
101,0
102,1
103,0
104,0
105,0
106,1
107,0
108,0
109,1
110,1
111,0
112,0
113,1
114,0
115,0
116,0
117,0
118,1
119,1
120,1
121,1
122,0
123,0
124,1
125,0
126,1
127,1
128,0
129,0
130,0
131,1
132,1
133,0
134,0
135,1
136,0
137,1
138,1
139,1
140,1
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,1
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,1
159,1
160,1
161,1
162,1
163,0
164,0
165,0
166,0
167,1
168,0
169,1
170,0
171,0
172,0
173,0
174,0
175,1
176,1
177,0
178,0
179,0
180,1
181,1
182,1
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,0
192,0
193,0
194,1
195,1
196,0
197,1
198,0
199,1
200,0
201,1
202,0
203,1
204,1
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,1
213,0
214,0
215,1
216,1
217,1
218,0
219,1
220,1
221,0
222,1
223,1
224,0
225,0
226,0
227,1
228,0
229,1
230,0
231,1
232,1
233,0
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,0
243,0
244,0
245,1
246,0
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,0
255,1
256,0
257,1
258,1
259,1
260,0
261,0
262,1
263,0
264,0
265,1
266,0
267,0
268,0
269,1
270,1
271,1
272,0
273,0
274,0
275,1
276,0
277,1
278,0
279,0
280,0
281,1
282,1
283,0
284,1
285,0
286,1
287,0
288,1
289,1
290,0
291,0
292,1
293,1
294,0
295,0
296,1
297,1
298,1
299,1
300,0
301,0
302,0
303,0
304,0
305,1
306,1
307,1
308,1
309,0
310,0
311,0
312,0
313,0
314,1
315,0
316,0
317,1
318,0
319,1
320,0
321,0
322,1
323,0
324,0
325,1
326,1
327,1
328,1
329,0
330,1
331,1
332,0
333,1
334,0
335,1
336,1
337,1
338,0
339,0
340,1
341,0
342,0
343,1
344,1
345,0
346,1
347,0
348,0
349,1
350,1
351,0
352,0
353,1
354,1
355,0
356,0
357,0
358,1
359,0
360,1
361,0
362,0
363,1
364,0
365,0
366,1
367,0
368,1
369,1
370,0
371,1
372,0
373,1
374,1
375,1
376,0
377,1
378,0
379,1
380,1
381,1
382,0
383,1
384,1
385,0
386,0
387,0
388,1
389,1
390,0
391,0
392,0
393,0
394,1
395,1
396,0
397,0
398,1
399,1
400,1
401,1
402,0
403,1
404,0
405,0
406,0
407,1
408,1
409,0
410,0
411,1
412,1
413,1
414,0
415,1
416,0
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,0
427,0
428,0
429,1
430,1
431,1
432,0
433,0
434,0
435,1
436,0
437,0
438,0
439,1
440,1
441,0
442,0
443,0
444,0
445,1
446,0
447,0
448,1
449,0
450,1
451,0
452,1
453,1
454,0
455,0
456,0
457,1
458,1
459,0
460,0
461,1
462,0
463,1
464,0
465,0
466,1
467,0
468,0
469,1
470,1
471,0
472,0
473,0
474,1
475,1
476,1
477,1
478,0
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,0
491,1
492,0
493,0
494,0
495,1
496,1
497,1
498,0
499,1
500,0
501,1
502,0
503,1
504,1
505,0
506,0
507,1
508,1
509,0
510,1
511,0
512,0
513,0
514,1
515,0
516,1
517,1
518,1
519,0
520,0
521,1
522,0
523,1
524,1
525,0
526,0
527,0
528,1
529,0
530,0
531,0
532,0
533,0
534,1
535,1
536,1
537,0
538,0
539,0
540,1
541,0
542,1
543,0
544,1
545,1
546,0
547,1
548,0
549,1
550,0
551,1
552,1
553,1
554,1
555,1
556,0
557,1
558,1
559,1
560,1
561,0
562,0
563,0
564,0
565,1
566,0
567,0
568,1
569,1
570,0
571,0
572,1
573,1
574,1
575,1
576,0
577,0
578,0
579,0
580,0
581,1
582,0
583,1
584,1
585,1
586,0
587,0
588,0
589,0
590,0
591,1
592,0
593,1
594,1
595,0
596,1
597,0
598,1
599,0
600,0
601,1
602,0
